IDPLAYER,PLAYERNAME,FIRSTNAME,LASTNAME,TEAM,POS,ESPNID,ESPNNAME,THROWS
aardsda01,David Aardsma,David,Aardsma,N/A,P,5933,David Aardsma,R
abadfe01,Fernando Abad,Fernando,Abad,BOS,P,30417,Fernando Abad,L
abreual01,Albert Abreu,Albert,Abreu,NYY,P,,,R
accarje01,Jeremy Accardo,Jeremy,Accardo,N/A,P,6262,Jeremy Accardo,R
aceveal01,Alfredo Aceves,Alfredo,Aceves,N/A,P,29223,Alfredo Aceves,R
adamsmi03,Mike Adams,Mike,Adams,N/A,P,5969,Mike Adams,R
adlemti01,Tim Adleman,Tim,Adleman,CIN,P,33962,Tim Adleman,R
affelje01,Jeremy Affeldt,Jeremy,Affeldt,N/A,P,5061,Jeremy Affeldt,L
aikenbr01,Brady Aiken,Brady,Aiken,CLE,P,,,L
alberan01,Andrew Albers,Andrew,Albers,N/A,P,32754,Andrew Albers,L
alberma01,Matt Albers,Matt,Albers,WAS,P,28525,Matt Albers,R
albural01,Al Alburquerque,Al,Alburquerque,KC,P,30494,Al Alburquerque,R
alcansa01,Sandy Alcantara,Sandy,Alcantara,STL,P,,,R
allarko01,Kolby Allard,Kolby,Allard,ATL,P,,,L
allenco01,Cody Allen,Cody,Allen,CLE,P,32188,Cody Allen,R
altavda01,Dan Altavilla,Dan,Altavilla,SEA,P,,,R
alvarhe01,Henderson Alvarez,Henderson,Alvarez,N/A,P,31047,Henderson Alvarez,R
alvarjo01,Jose Alvarez,Jose,Alvarez,LAA,P,32099,Jose Alvarez,R
alvarya01,Yadier Alvarez,Yadier,Alvarez,LAD,P,,,R
ambrihe01,Hector Ambriz,Hector,Ambriz,N/A,P,29795,Hector Ambriz,R
anderbr04,Brett Anderson,Brett,Anderson,CHC,P,30041,Brett Anderson,L
anderch01,Chase Anderson,Chase,Anderson,MIL,P,32690,Chase Anderson,R
anderco01,Cody Anderson,Cody,Anderson,CLE,P,33183,Cody Anderson,R
anderia01,Ian Anderson,Ian,Anderson,ATL,P,,,R
anderty01,Tyler Anderson,Tyler,Anderson,COL,P,32151,Tyler Anderson,L
andrima01,Matt Andriese,Matt,Andriese,TB,P,32549,Matt Andriese,R
appelma01,Mark Appel,Mark,Appel,N/A,P,33141,Mark Appel,
archech01,Chris Archer,Chris,Archer,TB,P,31003,Chris Archer,R
arredjo01,Jose Arredondo,Jose,Arredondo,N/A,P,29113,Jose Arredondo,R
arrieja01,Jake Arrieta,Jake,Arrieta,CHC,P,30145,Jake Arrieta,R
arroybr01,Bronson Arroyo,Bronson,Arroyo,N/A,P,4416,Bronson Arroyo,R
asheral01,Alec Asher,Alec,Asher,BAL,P,33787,Alec Asher,R
atchisc01,Scott Atchison,Scott,Atchison,N/A,P,4755,Scott Atchison,R
aumonph01,Phillippe Aumont,Phillippe,Aumont,N/A,P,29501,Phillippe Aumont,R
avilalu01,Luis Avilan,Luis,Avilan,LAD,P,31465,Luis Avilan,L
axelrdy01,Dylan Axelrod,Dylan,Axelrod,N/A,P,29727,Dylan Axelrod,R
axforjo01,John Axford,John,Axford,OAK,P,30378,John Axford,R
ayalalu01,Luis Ayala,Luis,Ayala,N/A,P,5389,Luis Ayala,R
badenbu01,Burke Badenhop,Burke,Badenhop,N/A,P,29090,Burke Badenhop,R
baezpe01,Pedro Baez,Pedro,Baez,LAD,P,30694,Pedro Baez,R
bailean01,Andrew Bailey,Andrew,Bailey,LAA,P,30096,Andrew Bailey,R
baileho02,Homer Bailey,Homer,Bailey,CIN,P,28668,Homer Bailey,R
bakersc02,Scott Baker,Scott,Baker,N/A,P,6261,Scott Baker,R
balesco01,Collin Balester,Collin,Balester,DET,P,28967,Collin Balester,R
balfogr01,Grant Balfour,Grant,Balfour,N/A,P,4811,Grant Balfour,R
bandaan01,Anthony Banda,Anthony,Banda,ARI,P,,,L
banuema01,Manny Banuelos,Manny,Banuelos,LAA,P,31123,Manny Banuelos,L
bardda01,Daniel Bard,Daniel,Bard,STL,P,30158,Daniel Bard,R
barneja01,Jacob Barnes,Jacob,Barnes,MIL,P,34868,Jacob Barnes,R
barnema01,Matt Barnes,Matt,Barnes,BOS,P,32147,Matt Barnes,R
barnesc01,Scott Barnes,Scott,Barnes,N/A,P,30789,Scott Barnes,L
barraky01,Kyle Barraclough,Kyle,Barraclough,MIA,P,34830,Kyle Barraclough,R
barreaa01,Aaron Barrett,Aaron,Barrett,N/A,P,33005,Aaron Barrett,R
barreja01,Jake Barrett,Jake,Barrett,ARI,P,33120,Jake Barrett,R
bassan01,Anthony Bass,Anthony,Bass,N/A,P,31144,Anthony Bass,R
bassich01,Chris Bassitt,Chris,Bassitt,OAK,P,33148,Chris Bassitt,R
bastaan01,Antonio Bastardo,Antonio,Bastardo,PIT,P,30105,Antonio Bastardo,L
batismi01,Miguel Batista,Miguel,Batista,N/A,P,2657,Miguel Batista,R
bauertr01,Trevor Bauer,Trevor,Bauer,CLE,P,32014,Trevor Bauer,R
beachbr01,Brandon Beachy,Brandon,Beachy,N/A,P,30962,Brandon Beachy,R
beavabl01,Blake Beavan,Blake,Beavan,N/A,P,31018,Blake Beavan,R
beckch01,Chad Beck,Chad,Beck,N/A,P,32027,Chad Beck,R
beckejo02,Josh Beckett,Josh,Beckett,N/A,P,4242,Josh Beckett,R
bedarer01,Erik Bedard,Erik,Bedard,N/A,P,5099,Erik Bedard,L
bedroca01,Cam Bedrosian,Cam,Bedrosian,LAA,P,31716,Cam Bedrosian,R
beedety01,Tyler Beede,Tyler,Beede,SF,P,,,R
beeleda01,Dallas Beeler,Dallas,Beeler,CHC,P,33099,Dallas Beeler,R
belisma01,Matt Belisle,Matt,Belisle,MIN,P,5829,Matt Belisle,R
belisro01,Ronald Belisario,Ronald,Belisario,N/A,P,29680,Ronald Belisario,R
belivje01,Jeff Beliveau,Jeff,Beliveau,TOR,P,32037,Jeff Beliveau,L
bellhe01,Heath Bell,Heath,Bell,N/A,P,6084,Heath Bell,R
belowdu01,Duane Below,Duane,Below,N/A,P,3132,Duane Below,L
benoijo01,Joaquin Benoit,Joaquin,Benoit,PHI,P,4588,Joaquin Benoit,R
berrijo01,Jose Berrios,Jose,Berrios,MIN,P,32811,Jose Berrios,R
betande01,Dellin Betances,Dellin,Betances,NYY,P,31122,Dellin Betances,R
betanra01,Rafael Betancourt,Rafael,Betancourt,N/A,P,3985,Rafael Betancourt,R
bettich01,Chad Bettis,Chad,Bettis,COL,P,31718,Chad Bettis,R
biagijo01,Joe Biagini,Joe,Biagini,TOR,P,,,
billich01,Chad Billingsley,Chad,Billingsley,N/A,P,6476,Chad Billingsley,R
blachty01,Ty Blach,Ty,Blach,SF,P,,,L
blackcl01,Clayton Blackburn,Clayton,Blackburn,SF,P,32172,Clayton Blackburn,R
blackni01,Nick Blackburn,Nick,Blackburn,N/A,P,28889,Nick Blackburn,R
blacktr01,Travis Blackley,Travis,Blackley,DET,P,6018,Travis Blackley,L
blackvi01,Vic Black,Vic,Black,N/A,P,31764,Vic Black,R
blairaa01,Aaron Blair,Aaron,Blair,ATL,P,33186,Aaron Blair,R
blantjo01,Joe Blanton,Joe,Blanton,WAS,P,6132,Joe Blanton,R
blevije01,Jerry Blevins,Jerry,Blevins,NYM,P,28915,Jerry Blevins,L
boggsmi01,Mitchell Boggs,Mitchell,Boggs,N/A,P,29152,Mitchell Boggs,R
bolsimi01,Mike Bolsinger,Mike,Bolsinger,TOR,P,32737,Mike Bolsinger,R
bondeje01,Jeremy Bonderman,Jeremy,Bonderman,N/A,P,5436,Jeremy Bonderman,R
bowdemi01,Michael Bowden,Michael,Bowden,N/A,P,29225,Michael Bowden,R
bowmama01,Matt Bowman,Matt,Bowman,STL,P,33685,Matt Bowman,R
boxbebr01,Brad Boxberger,Brad,Boxberger,TB,P,31495,Brad Boxberger,R
boydma01,Matt Boyd,Matt,Boyd,DET,P,34401,Matt Boyd,L
boyerbl01,Blaine Boyer,Blaine,Boyer,N/A,P,,,R
brachbr01,Brad Brach,Brad,Brach,BAL,P,31000,Brad Brach,R
brachsi01,Silvino Bracho,Silvino,Bracho,ARI,P,34119,Silvino Bracho,R
bradeda01,Dallas Braden,Dallas,Braden,N/A,P,28749,Dallas Braden,L
bradlar01,Archie Bradley,Archie,Bradley,ARI,P,32518,Archie Bradley,R
braulst01,Steven Brault,Steven,Brault,PIT,P,33870,Steven Brault,L
breslcr01,Craig Breslow,Craig,Breslow,MIN,P,6365,Craig Breslow,L
briceau01,Austin Brice,Austin,Brice,MIA,P,,,R
brittza01,Zach Britton,Zach,Britton,BAL,P,31054,Zach Britton,L
brookaa01,Aaron Brooks,Aaron,Brooks,CHC,P,33124,Aaron Brooks,
brothre01,Rex Brothers,Rex,Brothers,N/A,P,31083,Rex Brothers,L
brownba01,Barret Browning,Barret,Browning,N/A,P,30911,Barret Browning,L
broxtjo01,Jonathan Broxton,Jonathan,Broxton,STL,P,6370,Jonathan Broxton,R
buchada01,David Buchanan,David,Buchanan,N/A,P,33281,David Buchanan,R
buchhcl01,Clay Buchholz,Clay,Buchholz,PHI,P,28855,Clay Buchholz,R
buchtry01,Ryan Buchter,Ryan,Buchter,SD,P,32329,Ryan Buchter,L
buehrma01,Mark Buehrle,Mark,Buehrle,N/A,P,4454,Mark Buehrle,L
bumgama01,Madison Bumgarner,Madison,Bumgarner,SF,P,29949,Madison Bumgarner,L
bundydy01,Dylan Bundy,Dylan,Bundy,BAL,P,32094,Dylan Bundy,R
burgoen02,Enrique Burgos,Enrique,Burgos,ARI,P,34838,Enrique Burgos,R
burkegr01,Greg Burke,Greg,Burke,N/A,P,30231,Greg Burke,R
burnea.01,A.J. Burnett,A.J.,Burnett,N/A,P,4153,A.J. Burnett,R
burneal01,Alex Burnett,Alex,Burnett,N/A,P,30410,Alex Burnett,R
burnese01,Sean Burnett,Sean,Burnett,PHI,P,5384,Sean Burnett,L
burtoja01,Jared Burton,Jared,Burton,N/A,P,28733,Jared Burton,R
bushma01,Matt Bush,Matt,Bush,TEX,P,30074,Matt Bush,R
butleed01,Eddie Butler,Eddie,Butler,CHC,P,32831,Eddie Butler,R
byrdati01,Tim Byrdak,Tim,Byrdak,N/A,P,3910,Tim Byrdak,L
cabrema01,Mauricio Cabrera,Mauricio,Cabrera,ATL,P,32809,Mauricio Cabrera,R
cahiltr01,Trevor Cahill,Trevor,Cahill,SD,P,30054,Trevor Cahill,R
cainma01,Matt Cain,Matt,Cain,SF,P,6202,Matt Cain,R
caminar01,Arquimedes Caminero,Arquimedes,Caminero,N/A,P,30979,Arquimedes Caminero,R
campsh01,Shawn Camp,Shawn,Camp,N/A,P,5930,Shawn Camp,R
cappsca01,Carter Capps,Carter,Capps,SD,P,32469,Carter Capps,R
cappsma01,Matt Capps,Matt,Capps,N/A,P,6450,Matt Capps,R
capuach01,Chris Capuano,Chris,Capuano,N/A,P,5469,Chris Capuano,L
carigan01,Andrew Carignan,Andrew,Carignan,N/A,P,30034,Andrew Carignan,R
carmofa01,Roberto Hernandez,Roberto,Hernandez,N/A,P,6356,Roberto Hernandez,R
carpean01,Andrew Carpenter,Andrew,Carpenter,N/A,P,29221,Drew Carpenter,R
carpech01,Chris Carpenter,Chris,Carpenter,N/A,P,3610,Chris Carpenter,R
carpech02,Chris Carpenter,Chris,Carpenter,N/A,P,3610,Chris Carpenter,R
carpeda01,David Carpenter,David,Carpenter,N/A,P,29698,David Carpenter,R
carpeda02,David Carpenter,David,Carpenter,N/A,P,31305,David Carpenter,R
carraca01,Carlos Carrasco,Carlos,Carrasco,CLE,P,28968,Carlos Carrasco,R
carradj01,D.J. Carrasco,D.J.,Carrasco,N/A,P,5393,D.J. Carrasco,R
carrejo01,Joel Carreno,Joel,Carreno,N/A,P,31515,Joel Carreno,R
carsoro01,Robert Carson,Robert,Carson,N/A,P,31672,Robert Carson,L
cashnan01,Andrew Cashner,Andrew,Cashner,TEX,P,30134,Andrew Cashner,R
casilja01,Santiago Casilla,Santiago,Casilla,OAK,P,6060,Santiago Casilla,R
cassebo01,Bobby Cassevah,Bobby,Cassevah,N/A,P,30806,Bobby Cassevah,R
castrmi01,Miguel Castro,Miguel,Castro,COL,P,33820,Miguel Castro,R
cecilbr01,Brett Cecil,Brett,Cecil,STL,P,30296,Brett Cecil,L
